,Product_name,Original_price,Offer_price,Offer_percentage,Extra_offer,Shades_and_sizes,Featured_product,Best_seller_product
2104,Spraymintt Mouth Freshner Icymint,297,252,15,Not available,Not available,Not available,Not available
2105,Bath & Body Works Cinnamon Sandalwood Ultimate Hydration Bod...,Not available,2099,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2106,Sirona Reusable Eyebrow & Face Razors for Painfree Facial Ha...,299,199,33,Extra 10% Off,Not available,Not available,Not available
2107,Khadi Natural Rosewater Soap - Pack of 2,160,136,15,Not available,Not available,Not available,Not available
2108,Bath & Body Works Peach Bellini Cleansing Gel Hand Soap,Not available,749,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2109,Fiama Lemongrass & Jojoba Gel Bar(Pack Of 3),255,230,10,Not available,Not available,Not available,Not available
2110,Pilgrim Squalane Body Serum Lotion with 5% Niacinamide & Cer...,400,368,8,Not available,Not available,Not available,Not available
2111,Find Your Happy Place - Wrapped In Your Arms Soufflé Body Bu...,699,629,10,Not available,Not available,Not available,Not available
2112,"VEGA Eyebrow Shaper & Face Razor, Pack Of 4, (ESS-04)",Not available,299,Not available,Not available,Not available,Not available,Not available
2113,Bath & Body Works Dream Bright Travel Size Shower Gel,Not available,999,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2114,Gillette Vector 3 Manual Shaving Razor,Not available,149,Not available,Not available,Not available,Not available,Not available
2115,KamaSutra Ks Passion No Gas Perfume Spray For Men,275,193,30,Extra 10% Off,Not available,Not available,Not available
2116,OGX Purifying Charcoal Detox Shampoo+ Conditioner,1598,1358,15,Not available,Not available,Not available,Not available
2117,Sanfe Stand and Pee Personal Hygiene and Sanitation Device f...,299,216,28,Extra 5% Off,Not available,Not available,Not available
2118,Sirona FDA Approved Reusable ` Cup (Large) with Menstrual Cu...,648,428,34,Extra 10% Off,Not available,Not available,Not available
2119,Lever Ayush Anti Cavity Clove Oil Toothpaste,Not available,60,Not available,Not available,2 sizes,Not available,Not available
2120,"Engage L'amante Click & Brush Perfume Pen for Women, Eau De ...",1299,1143,12,Not available,Not available,Not available,Not available
2121,Fem Bleach 8gm (Pack Of 3),102,90,12,Not available,Not available,Not available,Not available
2122,Jeva Hot Film Wax White Chocolate,950,810,15,Not available,Not available,Not available,Not available
2123,Bath & Body Works Blossom Wallflowers Fragrance Plug,Not available,1499,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2124,Palmer's Cocoa Butter Formula Massage Lotion For Stretch Mar...,1100,1023,7,Not available,Not available,Not available,Not available
2125,Honeybee Pure Cold Wax,299,269,10,Extra 20% Off,Not available,Not available,Not available
2126,Chicco Baby Moments Diaper Rash Cream,Not available,189,Not available,Enjoy Free Gift,Not available,Not available,Not available
2127,Palmer's Cocoa Butter Formula Moisturizing Lotion With Vitam...,1000,930,7,Not available,Not available,Not available,Not available
2128,Nykaa Wanderlust French Lavender Fragrance Mist & Body Lotio...,950,760,20,Enjoy Free Gift,Not available,Not available,Not available
2129,Paree Ultra Thinz Soft & Rash Free 30 Sanitary Pads For Heav...,480,346,28,Not available,Not available,Not available,Not available
2130,Bella Sensitive Intimate Wet Wipes Allanation D-Panthenol Gl...,109,96,12,Not available,Not available,Not available,Not available
2131,MCaffeine Deep Moisturization Duo - Choco Body Butter & Coff...,1094,875,20,Not available,Not available,Not available,Not available
2132,BodyHerbals De-Stress Lavender Spa Hamper - Gift Sets & Comb...,Not available,2999,Not available,Not available,Not available,Not available,Not available
2133,Mother Sparsh Natural Insect Repellent Spray for Babies with...,249,224,10,Not available,Not available,Not available,Not available
2134,Organic Harvest Rose Bathing Bar,99,90,9,Not available,Not available,Not available,Not available
2135,Fem Fair & Soft Sandal Hair Removal Cream - Dry Skin,45,41,10,Not available,Not available,Not available,Not available
2136,MCaffeine Coffee Face Moisturizer and Body Lotion Combo for ...,824,699,15,Not available,Not available,Not available,Not available
2137,Soulflower Organic Cleansing Sandalwood Handmade Bathing Bar...,400,348,13,Not available,Not available,Not available,Not available
2138,Bella Cotton Bio Pads 60 Pcs,150,128,15,Not available,Not available,Not available,Not available
2139,Kama Ayurveda Himalayan Deodar Body Cleanser,Not available,1325,Not available,Enjoy Free Gift,Not available,Not available,Not available
2140,Biotique Vitamin E Moisturiser & Facewash Combo,515,481,7,Not available,Not available,Not available,Not available
2141,Clean & Dry Feminine Intimate Wash - Pack of 2,378,302,20,Not available,Not available,Not available,Not available
2142,Nat Habit Fresh Whipped Skin Malai Fig Rose Primalight Body ...,483,343,29,Not available,Not available,Not available,Not available
2143,Sanfe Large Reusable Menstrual Cup for Women - 1 Pc,499,183,63,Extra 5% Off,Not available,Not available,Not available
2144,Bella Vita Organic Luxury Body Parfum Glam Woman,299,239,20,Not available,Not available,Not available,Not available
2145,"Fiama Fresh Moisturising Hand Wash, Peppermint and Green App...",309,241,22,Not available,Not available,Not available,Not available
2146,Be Bodywise 5% Niacinamide Body Wash - 10% Niacinamide Body ...,1058,899,15,Get Free Product,Not available,Not available,Not available
2147,Wanderlust Himalayan Hemp Bath & Body Regime + Mani Padi Com...,1698,1189,30,Enjoy Free Gift,Not available,Not available,Not available
2148,"Bentodent Premium Mint Complete Care Toothpaste Natural,Vega...",170,162,5,Not available,Not available,Not available,Not available
2149,Fabessentials Lavender Glycerin Bathing Bar,Not available,95,Not available,Extra 10% Off,Not available,Not available,Not available
2150,VEGA Nail File Large (NF-08BL),Not available,125,Not available,Not available,Not available,Not available,Not available
2151,Odonil Room Freshening Gelz Passion Fruit,80,75,6,Not available,Not available,Not available,Not available
2152,TNW The Natural Wash Alcohol-Free Under Arm Roll On - Set of...,520,390,25,Enjoy Free Gift,Not available,Not available,Not available
2153,Love Beauty & Planet Body Care Gift Set,Not available,1650,Not available,Not available,Not available,Not available,Not available
2154,Oral-B Pro Expert Electric Toothbrush Battery Operated With ...,Not available,1199,Not available,Not available,Not available,Not available,Not available
2155,VEGA CTF-01 2 In 1 Cuticle Trimmer & Nail File,Not available,135,Not available,Not available,Not available,Not available,Not available
